212F30	3007
21427B	6606
21427C	6614
21427D	660C
21427E	6600
214321	660E
214322	6613
214323	6602
214324	660F
214325	6625
214326	6627
214327	662F
214328	662D
214329	6620
21432A	661F
21432B	6628
21432C	664F
21432D	6642
21432E	6652
21432F	6649
214330	6643
214331	664C
214332	665D
214333	6664
214334	6668
214335	6666
214336	665A
214337	666F
214338	666E
214339	6674
21433A	6691
21433B	6670
21433C	6676
21433D	667A
21433E	6697
21433F	6687
214340	6689
214341	6688
214342	6696
214343	66A2
214344	66AB
214345	66B4
214346	66AE
214347	66C1
214348	66C9
214349	66C6
21434A	66B9
21434B	66D6
21434C	66D9
21434D	66E0
21434E	66DD
21434F	66E6
214350	66F0
214351	66F2
214352	66F3
214353	66F4
214354	66F7
214355	66F8
214356	66F9
214357	52D7
214358	66FE
214359	66FF
21435A	6703
21435B	6708
21435C	6709
21435D	670D
21435E	670B
21435F	6717
214360	6715
214361	6714
214362	671B
214363	671D
214364	671F
214366	6727
214367	6728
214369	672C
21436A	672B
21436B	672A
21436D	673D
21436F	6731
214370	6735
214371	675E
214372	6751
214373	674E
214374	675C
214375	6750
214376	6756
214377	675F
214378	674F
214379	6749
21437B	676D
21437C	678B
21437D	6795
21437E	6789
214421	6787
214422	6777
214423	679D
214424	6797
214425	676F
214426	6771
214427	6773
214428	679C
214429	6775
21442A	679A
21442B	6790
21442D	677E
21442E	67D3
21442F	67F1
214430	67FF
214431	67D4
214432	67C4
214433	67AF
214434	67D0
214435	67D1
214436	67EF
214437	67E9
214438	67B6
214439	67EC
21443A	67E5
21443B	67FA
21443C	67DA
21443D	6805
21443E	67DE
21443F	67B8
214440	67CF
214441	67F3
214442	6848
214443	6821
214444	6838
214445	6853
214446	6846
214447	6842
214448	6854
214449	6817
21444A	683D
21444B	6851
21444C	6829
21444D	6850
21444E	6839
214450	67F4
214451	6843
214452	6840
214453	682A
214454	6845
214455	683C
214456	6813
214457	6881
214458	6893
214459	68AF
21445A	6876
21445B	68B0
21445C	68A7
21445D	6897
21445E	68B5
21445F	68B3
214460	68A2
214461	687F
214462	68B1
214463	689D
214464	68AD
214465	6886
214466	6885
214467	68A8
214468	689F
214469	6894
21446A	6883
21446B	68D5
21446C	68FA
21446D	68C4
21446E	68F2
21446F	68D2
214470	68E3
214471	68DF
214472	68CB
214473	68EE
214474	690D
214475	6905
214476	68E7
214477	68E0
214478	68F5
214479	68CD
21447A	68D7
21447B	68D8
21447C	6912
21447D	68F9
21447E	68DA
214521	690E
214522	68C9
214523	6954
214524	6930
214525	6977
214526	6975
214527	695A
214528	6960
214529	696B
21452A	694A
21452B	6968
21452C	695E
